CSCORE,BETFAIR
KIFISIA,KIFISIAS FC
KILMARNOCK,KILMARNOCK
KISVARDA FC,KISVARDA
KITCHEE,
KOLDING IF,KOLDING IF
KOLOS KOVALIVKA,
KONYASPOR,KONYASPOR
KOOTEEPEE,
KOPER,KOPER
KORONA KIELCE,KORONA KIELCE
KORTRIJK,KORTRIJK
KOSOVO,
KPV-J,KPV
KR REYKJAVIK,KR REYKJAVIK
KRYVBAS KR,
KUPS,KUPS
KUWAIT,KUWAIT
KV MECHELEN,YELLOW-RED MECHELEN
KVC WESTERLO,WESTERLO
KYOTO SANGA,KYOTO
KYRGYZSTAN,KYRGYZSTAN
KÄPA,KAPA
KØBENHAVN U19,
LA EQUIDAD,LA EQUIDAD
LA LUZ,LA LUZ FC
LAMIA,LAMIA
LANDSKRONA BOIS,LANDSKRONA
LAS PALMAS,LAS PALMAS
LASK LINZ,LASK LINZ
LATVIA,
LAUSANNE,LAUSANNE
LAVAL,LAVAL
LAZIO,LAZIO
LAZIO U19,
LDU DE QUITO,LDU
LE HAVRE,LE HAVRE
LE PAYS DU VALOIS,
LEBANON,LEBANON
LECCE,LECCE
LECCO,LECCO
LECH POZNAN,LECH POZNAN
LEEDS,LEEDS
LEGANES,LEGANES
LEGIA WARSZAWA,LEGIA WARSAW
LEICESTER,LEICESTER
LEIXOES,LEIXOES
LENS,LENS
LENS U19,
LEON,LEON
LES HERBIERS,
LESOTHO,
LEVANTE,LEVANTE
LEVSKI KRUMOVGRAD,LEVSKI KRUMOVGRAD
LEVSKI SOFIA,PFC LEVSKI SOFIA
LEYTON ORIENT,LEYTON ORIENT
LEÓN,
LIBERIA,
LIBERTAD,FC LIBERTAD GRAN MAMORÉ
LIBERTAD,LIBERTAD FC
LIBERTAD ASUNCION,LIBERTAD
LIBYA,
LIECHTENSTEIN,LIECHTENSTEIN
LILLE,LILLE
LILLESTROM,LILLESTROM
LINCOLN,LINCOLN
LITHUANIA,LITHUANIA
LIVERPOOL,LIVERPOOL
LIVERPOOL MONTEVIDEO,
LIVINGSTON,LIVINGSTON
LNZ CHERKASY,
LOKOMOTIV PLOVDIV,LOKOMOTIV PLOVDIV
LOKOMOTIV SOFIA,LOKOMOTIV SOFIA
LONDRINA,LONDRINA
LORIENT,LORIENT
LOS ANGELES FC,LOS ANGELES FC
LOS ANGELES GALAXY,LA GALAXY
LUDOGORETS,LUDOGORETS
LUTON,LUTON
LUXEMBOURG,LUXEMBOURG
LYNGBY,LYNGBY
LYON,LYON
LYON DUCHERE,
MACARTHUR,MACARTHUR FC
MACCABI HAIFA,
MACCABI TEL AVIV,
MACHIDA ZELVIA,FC MACHIDA
MADAGASCAR,
MAFRA,MAFRA
MAGALLANES,MAGALLANES
MALAWI,
MALAYSIA,MALAYSIA
MALI,
MALLORCA,REAL MALLORCA
MALMO FF,MALMO FF
MALTA,
MAMELODI SUNDOWNS,
MANCHESTER CITY,MAN CITY
MANCHESTER CITY U19,
MANCHESTER UNITED,MAN UTD
MANCHESTER UNITED U19,
MANSFIELD TOWN,
MARIBOR,NK MARIBOR
MARITIMO,MARITIMO
MARSEILLE,MARSEILLE
MASR,ZED FC
MAURITANIA,MAURITIUS
MAURITIUS,
MAZATLÁN,MAZATLAN FC
MAZIYA,
MEIZHOU KEJIA,
MELBOURNE CITY,MELBOURNE CITY
MELBOURNE VICTORY,MELBOURNE VICTORY
METALIST 1925 KHARKIV,METALIST 1925
METROPOLITANOS FC,METROPOLITANOS
METTA / LU,FS METTA/LU
METZ,METZ
MEXICO,
MEZOKOVESD-ZSORY,MEZOKOVESD-ZSORY
MIDDLESBROUGH,MIDDLESBROUGH
MIDTJYLLAND U19,
MILAN U19,
MILLONARIOS,MILLONARIOS
MILLWALL,MILLWALL
MILTON KEYNES DONS,
MINAI,
MINEROS DE GUYANA,
MINNESOTA UNITED FC,MINNESOTA UTD
MIRANDES,MIRANDES
MIRASSOL,MIRASSOL
MITO HOLLYHOCK,MITO
MJALLBY AIF,MJALLBY
MLADA BOLESLAV,MLADA BOLESLAV
MLADOST LUCANI,MLADOST LUCANI
MODENA,MODENA
MOLDE,MOLDE
MOLDOVA,
MONACO,MONACO
MONAGAS SC,MONAGAS
MONTALEGRE,
MONTEDIO YAMAGATA,YAMAGATA
MONTENEGRO,MONTENEGRO
MONTERREY,MONTERREY
MONTPELLIER,MONTPELLIER
MONTREAL IMPACT,CF MONTREAL
MONTROSE,
MONTSERRAT,
MONZA,AC MONZA
MOREIRENSE,MOREIRENSE
MOROCCO,
MOROKA SWALLOWS,MOROKA SWALLOWS
MORTON,
MOTHERWELL,MOTHERWELL
MOZAMBIQUE,MOZAMBIQUE
MP,MIKKELI
MSV DUISBURG,
MTK BUDAPEST,MTK BUDAPEST
MUMBAI CITY,
MURA,MURA
MUSHUC RUNA SC,MUSHUC RUNA
MVV,MVV MAASTRICHT
MYANMAR,MYANMAR
NAC BREDA,NAC BREDA
NACIONAL,CD NACIONAL FUNCHAL
NACIONAL ASUNCION,
NACIONAL POTOSÍ,
NAESTVED,NAESTVED
NAGOYA GRAMPUS,NAGOYA
NAMIBIA,
NANTES,NANTES
NANTES U19,
NANTONG ZHIYUN,NANTONG ZHIYUN F.C
NAPOLI,NAPOLI
NAPOLI U19,
NAPREDAK,FK NAPREDAK
NASAF,NASAF
NASHVILLE SC,NASHVILLE SC
NASSAJI MAZANDARAN,
NATIONAL BANK OF EGYPT,NATIONAL BANK
NAVBAHOR,
NEC NIJMEGEN,NEC NIJMEGEN
NECAXA,NECAXA
NEPAL,NEPAL
NETHERLANDS,
NEUVILLE,
NEW ENGLAND REVOLUTION,NEW ENGLAND
NEW YORK CITY FC,NEW YORK CITY
NEW YORK RED BULLS,NEW YORK RED BULLS
NEWCASTLE,NEWCASTLE
NEWCASTLE JETS,NEWCASTLE JETS
NEWCASTLE UNITED U21,
NICARAGUA,
NICE,NICE
NIGER,
NIGERIA,NIGER
NK DOMZALE,DOMZALE
NK LOKOMOTIVA ZAGREB,LOKOMOTIVA
NK OSIJEK,OSIJEK
NK SLAVEN BELUPO,SLAVEN BELUPO
NK VARAZDIN,VARAZDIN
NORTH KOREA,
NORTHAMPTON,NORTHAMPTON
NORTHERN IRELAND,
NORWAY,
NORWICH,NORWICH
NOTTINGHAM FOREST,NOTTM FOREST
NOTTINGHAM FOREST U21,
NOVI PAZAR,FK NOVI PAZAR
NOVORIZONTINO,NOVORIZONTINO
NUBLENSE,NUBLENSE
O ELVAS,
O'HIGGINS,OHIGGINS
OBOLON'-BROVAR,OBOLON-BROVAR KIEV
ODD BALLKLUBB,ODDS BK
ODENSE,OB
ODISHA,
OFI,OFI
OH LEUVEN,OUD-HEVERLEE LEUVEN
OITA TRINITA,
OLEKSANDRIA,OLEKSANDRIA
OLIMPIA,OLIMPIA
OLIMPIJA LJUBLJANA,OLIMPIJA
OLIVEIRENSE,OLIVEIRENSE
OLMALIQ,OLMALIQ
OLYMPIAKOS PIRAEUS,OLYMPIAKOS
OMAN,
OMIYA ARDIJA,OMIYA
ONCE CALDAS,ONCE CALDAS
OREBRO SK,OREBRO
ORENSE SC,ORENSE SPORTING CLUB
ORGRYTE IS,ORGRYTE
ORIENTE PETROLERO,ORIENTE PETROLERO
ORLANDO CITY SC,ORLANDO CITY
ORLANDO PIRATES,ORLANDO PIRATES (SA)
OSASUNA,OSASUNA
OSTERS IF,OSTERS
OSTERSUNDS FK,OSTERSUNDS FK
OVIEDO,OVIEDO
OXFORD UNITED,OXFORD UTD
OŢELUL,OTELUL GALATI
PACHUCA,PACHUCA
PACOS FERREIRA,PACOS FERREIRA
PAKHTAKOR,
PAKISTAN,PAKISTAN
PAKS,PAKS
PALERMO,PALERMO
PALESTINE,
PALESTINO,PALESTINO
PALMEIRAS,SE PALMEIRAS
PANAMA,PANAMA
PANATHINAIKOS,PANATHINAIKOS
PANETOLIKOS,PANAITOLIKOS
PANSERRAIKOS,PANSERRAIKOS
PAOK,PAOK
PARAGUAY,PARAGUAY
PARDUBICE,PARDUBICE
PAREDES,
PARIS FC,PARIS FC
PARIS SAINT GERMAIN,PARIS ST-G
PARMA,PARMA
PARTICK,
PAS GIANNINA,PAS GIANNINA
PAU,PAU
PEC ZWOLLE,PEC ZWOLLE
PENAFIEL,PENAFIEL
PENAROL,
PENDIKSPOR,PENDIKSPOR
PERSEPOLIS FC,PERSEPOLIS
PERTH GLORY,PERTH GLORY
PERU,PERU
PETERBOROUGH,PETERBOROUGH
PETERHEAD,
PETROLUL PLOIESTI,ACS PETROLUL 52
PHARCO,PHARCO FC
PHILADELPHIA UNION,PHILADELPHIA
PHILIPPINES,PHILIPPINES
PIAST GLIWICE,PIAST GLIWICE
PIRIN BLAGOEVGRAD,PIRIN BLAGOEVGRAD
PISA,PISA
PLAZA COLONIA,
PLYMOUTH,PLYMOUTH
PLZEN,PLZEN
PODBREZOVÁ,PODBREZOVA
POGON SZCZECIN,POGON SZCZECIN
POHANG STEELERS,POHANG STEELERS
POLAND,
POLESSYA,
POLITEHNICA IASI,CSMS IASI
POLLOK,
POLOKWANE CITY,POLOKWANE CITY
PONTE PRETA,PONTE PRETA
PORT VALE,PORT VALE
PORTIMONENSE,PORTIMONENSE
PORTLAND TIMBERS,PORTLAND TIMBERS
PORTO U19,
PORTSMOUTH,PORTSMOUTH
PORTUGAL,PORTUGAL
PORTUGUESA FC,PORTUGUESA FC
PRESTON,PRESTON
PREUSSEN MUNSTER,PREUSSEN MUNSTER
PROVIN,
PSV EINDHOVEN,
PSV U19,
PUEBLA,PUEBLA
PUERTO CABELLO,PUERTO CABELLO
PUSKAS ACADEMY,PUSKAS AKADEMIA
PUSZCZA NIEPOŁOMICE,PUSZCZA NIEPOLOMICE
QARABAG,
QATAR,QATAR
QINGDAO JONOON,QINGDAO JONOON
QPR,QPR
QUEEN OF THE SOUTH,
QUEEN'S PARK,
QUEVILLY,QUEVILLY ROUEN
RACING FERROL,RACING DE FERROL
RACING MONTEVIDEO,
RACING SANTANDER,RACING SANTANDER
RADNICKI 1923,FK RADNICKI 1923
RADNICKI NIS,RADNICKI NIS
RADNIK SURDULICA,RADNIK SURDULICA
RADOMIAK RADOM,RADOMIAK RADOM
RADOMLJE,NK RADOMLJE
RAITH ROVERS,
RAKÓW CZĘSTOCHOWA,RAKOW CZESTOCHOWA
RANDERS FC,RANDERS
RANGERS,RANGERS
RAPID,RAPID BUCHAREST
RAPID VIENNA,RAPID VIENNA
RAYO VALLECANO,RAYO VALLECANO
RAYO ZULIANO,RAYO ZULIANO
RB BRAGANTINO,BRAGANTINO SP
RB LEIPZIG,RB LEIPZIG
RB LEIPZIG U19,
READING,READING
REAL BETIS,BETIS
REAL ESPPOR CLUB,
REAL MADRID,REAL MADRID
REAL MADRID U19,
REAL SALT LAKE,REAL SALT LAKE
REAL SOCIEDAD,REAL SOCIEDAD
REAL SOCIEDAD U19,
REAL TOMAYAPO,REAL TOMAYAPO
RED BULL SALZBURG,RED BULL SALZBURG
RED STAR FC 93,
REGGIANA,REGGIANA
REIMS,REIMS
RENNES,RENNES
RENOFA YAMAGUCHI,RENOFA YAMAGUCHI
REP. OF IRELAND,
RESISTENCIA,RESISTENCIA FC
RICHARDS BAY,RICHARDS BAY FC
RIGA,FK RIGA
RIO AVE,RIO AVE
RIONEGRO AGUILAS,RIONEGRO
RIZESPOR,RIZESPOR
ROASSO KUMAMOTO,
RODA,RODA JC
RODEZ,RODEZ
ROGAŠKA,NK ROGASKA
ROMANIA,
ROSENBORG,ROSENBORG
ROSS COUNTY,ROSS CO
ROT-WEISS ESSEN,
ROTHERHAM,ROTHERHAM
ROYAL AM,
ROYAL PARI,ROYAL PARI
RUCH CHORZÓW,RUCH CHORZOW
RUDES,RUDES
RUH LVIV,
RUKH VYNNYKY U19,
RUŽOMBEROK,RUZOMBEROK
RWANDA,
RWDM,MOLENBEEK
RĪGAS FS,RIGAS FUTBOLA SKOLA
SAGAN TOSU,TOSU
SAINT ETIENNE,ST ETIENNE
SAINT MARTIN,
SALERNITANA,SALERNITANA
SALPA,SALPA
SALZBURG U19,
SAMPAIO CORREA,SAMPAIO CORREA FC
SAMPDORIA,SAMPDORIA
SAMSUNSPOR,SAMSUNSPOR
SAN JOSE EARTHQUAKES,SAN JOSE EARTHQUAKES
SAN LORENZO,
SAN MARINO,
SANDEFJORD,SANDEFJORD
SANFRECCE HIROSHIMA,HIROSHIMA
SANTA CLARA,SANTA CLARA
SANTA CRUZ,CLUB REAL SANTA CRUZ
SANTA FE,SANTA FE
SANTOS,SANTOS
SANTOS LAGUNA,SANTOS LAGUNA
SAO PAULO,SAO PAULO
SAO TOME AND PRINCIPE,
SARPSBORG 08 FF,SARPSBORG
SASSUOLO,SASSUOLO
SAUDI ARABIA,SAUDI ARABIA
SC BRAGA,BRAGA
SC FREIBURG,FREIBURG
SC PADERBORN 07,PADERBORN
SCOTLAND,SCOTLAND
SCR ALTACH,SCR ALTACH
SEATTLE SOUNDERS,SEATTLE SOUNDERS
SEKHUKHUNE UNITED,SEKHUKHUNE UNITED
SENEGAL,SENEGAL
SEONGNAM FC,SEONGNAM FC
SEOUL E-LAND FC,SEOUL E-LAND FC
SEPAHAN FC,
SEPSI OSK SFANTU GHEORGHE,ACS SEPSI OSK
SERBIA,SERBIA
SERVETTE FC,SERVETTE
SEVILLA,SEVILLA
SEVILLA U19,
SHAKHTAR DONETSK,SHAKHTAR
SHAKHTAR DONETSK U19,
SHAMROCK ROVERS,SHAMROCK ROVERS
SHANDONG LUNENG,
SHANGHAI SHENHUA,SHANGHAI SHENHUA
SHANGHAI SIPG,
SHARJAH FC,AL SHARJAH
SHEFFIELD UTD,SHEFF UTD
SHEFFIELD WEDNESDAY,SHEFF WED
SHELBOURNE,SHELBOURNE
SHENZHEN RUBY FC,SHENZHEN FC
SHERIFF TIRASPOL,
SHIJIAZHUANG Y. J.,
SHIMIZU S-PULSE,SHIMIZU
SHONAN BELLMARE,SHONAN
SHREWSBURY,SHREWSBURY
SIERRA LEONE,
SIGMA OLOMOUC,SIGMA OLOMOUC
SILKEBORG,SILKEBORG
SINGAPORE,SINGAPORE
SINT MAARTEN,SINT MAARTEN
SIRIUS,SIRIUS
SIVASSPOR,SIVASSPOR
SJK,SJK
SJK AKATEMIA,SJK 2
SKALICA,MFK SKALICA
SKÖVDE AIK,SKOVDE AIK
SLASK WROCLAW,SLASK WROCLAW
SLAVIA PRAHA,SLAVIA PRAGUE
SLAVIA SOFIA,SLAVIA SOFIA
SLIGO ROVERS,SLIGO ROVERS
SLOVAKIA,SLOVAKIA
SLOVAN BRATISLAVA,SLOVAN BRATISLAVA
SLOVAN LIBEREC,SLOVAN LIBEREC
SLOVENIA,
SLOVÁCKO,SLOVACKO
SMOUHA SC,SMOUHA
SOCHAUX,
SOMALIA,SOMALIA
SONDERJYSKE,SONDERJYSKE
SOUTH AFRICA,
SOUTH KOREA,SOUTH KOREA
SOUTH SUDAN,
SOUTHAMPTON,SOUTHAMPTON
SPAIN,SPAIN
SPARTA PRAHA,SPARTA PRAGUE
SPARTA PRAHA U19,
SPARTA ROTTERDAM,SPARTA ROTTERDAM
SPARTAK TRNAVA,SPARTAK TRNAVA
SPARTANS,
SPEZIA,SPEZIA
SPORT BOYS,SPORT BOYS (PER)
SPORT HUANCAYO,SPORT HUANCAYO
SPORT RECIFE,SPORT RECIFE
SPORTING BRAGA U19,
SPORTING CP,SPORTING LISBON
SPORTING CRISTAL,SPORTING CRISTAL
SPORTING GIJON,SPORTING GIJON
SPORTING KANSAS CITY,KANSAS CITY
SPORTIVO AMELIANO,CLUB SPORTIVO AMELIANO
SPORTIVO LUQUENO,SPORTIVO LUQUENO
SPORTIVO TRINIDENSE,SPORTIVO TRINIDENSE
SPVGG GREUTHER FURTH,GREUTHER FURTH
SPVGG UNTERHACHING,
SSV ULM 1846,
ST JOHNSTONE,ST JOHNSTONE
ST MIRREN,ST MIRREN
ST PATRICK'S ATHL.,ST. PATRICK F.C.
ST. KITTS AND NEVIS,ST KITTS & NEVIS
ST. LOUIS CITY,ST LOUIS CITY SC
ST. LUCIA,SANTA LUCIA FC
ST. TRUIDEN,SINT TRUIDEN
ST. VINCENT / GRENADINES,
STABAEK,STABAEK
STADE BRESTOIS 29,BREST
STADE BRIOCHIN,
STADE LAUSANNE-OUCHY,STADE LAUSANNE-OUCHY
STAL MIELEC,STAL MIELEC
STALLION,
STANDARD LIEGE,STANDARD
STELLENBOSCH,STELLENBOSCH FC
STEVENAGE,STEVENAGE
STIRLING ALBION,
STJARNAN,STJARNAN
STOKE CITY,STOKE
STRANRAER,
STRASBOURG,STRASBOURG
STROMSGODSET,STROMSGODSET
STURM GRAZ,STURM GRAZ
SUDAN,
SUDTIROL,SUDTIROL
SUNDERLAND,SUNDERLAND
SUPER NOVA,SK SUPER NOVA
SUPERSPORT UNITED,SUPERSPORT UTD
SUTTON UTD,
SUWON BLUEWINGS,SUWON BLUEWINGS
SUWON CITY FC,SUWON FC
SV DARMSTADT 98,SV DARMSTADT
SV ELVERSBERG,ELVERSBERG
SV SANDHAUSEN,
SV WEHEN,WEHEN WIESBADEN
SWANSEA,SWANSEA
SWEDEN,SWEDEN
SWINDON TOWN,
SWITZERLAND,SWITZERLAND
SYDNEY,SYDNEY FC
SYRIA,SYRIA
TACUARY,TACUARY
TAJIKISTAN,TAJIKISTAN
TANZANIA,
TECNICO UNIVERSITARIO,TECNICO UNIVERSITARIO
TELSTAR,SC TELSTAR
TENERIFE,TENERIFE
TEPLICE,TEPLICE
TERENGGANU,
TERNANA,TERNANA
THAILAND,THAILAND
THE STRONGEST,THE STRONGEST
THESPAKUSATSU GUNMA,THESPAKUSATSU GUNMA
TIANJIN TEDA,
TIGRES UANL,TIGRES
TOCHIGI SC,TOCHIGI SC
TOGO,
TOKUSHIMA VORTIS,TOKUSHIMA
TOKYO VERDY,TOKYO-V
TOLUCA,TOLUCA
TOMBENSE,TOMBENSE MG
TONDELA,TONDELA
TORINO,TORINO
TORONTO FC,TORONTO FC
TORREENSE,TORREENSE
TOTTENHAM,TOTTENHAM
TOULOUSE,TOULOUSE
TRABZONSPOR,TRABZONSPOR
TRELLEBORGS FF,TRELLEBORGS
TRINIDAD AND TOBAGO,TRINIDAD & TOBAGO
TROMSO,TROMSO
TS GALAXY,TS GALAXY FC
TSC BACKA TOPOLA,FK BACKA TOPOLA
TSV 1860 MUNICH,
TSV HARTBERG,HARTBERG
TUKUMS,FK TUKUMS 2000
TUNISIA,
TURKEY,
TURKMENISTAN,
TURKS AND CAICOS ISLANDS,
TURKU PS,TPS
TWENTE,FC TWENTE
U CRAIOVA 1948,FC U CRAIOVA 1948
U. CATOLICA,UNIV CATOLICA (CHILE)
U.N.A.M.,
U.N.A.M. - PUMAS,PUMAS UNAM
UCD,UCD
UCV,
UDINESE,UDINESE
UGANDA,
UJPEST,UJPEST
UKRAINE,
ULSAN HYUNDAI FC,ULSAN HYUNDAI HORANG-I
UNDEFINED,
UNION BERLIN,UNION BERLIN
UNION BERLIN U19,
UNION COMERCIO,UNION COMERCIO
UNION ESPANOLA,UNION ESPANOLA
UNION LA CALERA,UNION LA CALERA
UNION MAGDALENA,UNION MAGDALENA
UNION ST. GILLOISE,UNION ST GILLOISE
UNITED ARAB EMIRATES,
UNIVERSIDAD CATOLICA,
UNIVERSIDAD DE CHILE,UNIVERSIDAD DE CHILE
UNIVERSITARIO,UNIVERSITARIO DE DEPORTES
UNIVERSITARIO DE VINTO,UNIVERSITARIO DE VINTO
UNIVERSITATEA CLUJ,UNIVERSITATEA CLUJ
UNIVERSITATEA CRAIOVA,UNIVERSITATEA CRAIOVA
UNIÃO DE LEIRIA,LEIRIA
URAWA,URAWA
URUGUAY,URUGUAY
US VIRGIN ISLANDS,
USA,
UTA ARAD,UTA ARAD
UTC,UTC CAJAMARCA
UTRECHT,FC UTRECHT
UTSIKTEN,UTSIKTENS
UZBEKISTAN,UZBEKISTAN
V-VAREN NAGASAKI,NAGASAKI
VAASA PS,
VACA DÍEZ,VACA DIEZ
VALENCIA,VALENCIA
VALENCIENNES,VALENCIENNES
VALERENGA,VALERENGA
VALLADOLID,VALLADOLID
VALMIERA / BSS,VALMIERAS FK
VALUR REYKJAVIK,VALUR
VANCOUVER WHITECAPS,VANCOUVER WHITECAPS
VARBERGS BOIS FC,VARBERGS BOIS
VASCO DA GAMA,VASCO DA GAMA
VASTERAS SK FK,VASTERAS SK
VEGALTA SENDAI,
VEJLE,
VENDSYSSEL FF,VENDSYSSEL FF
VENEZIA,VENEZIA
VENEZUELA,VENEZUELA
VENTFORET KOFU,KOFU
VERES RIVNE,VERES RIVNE
VERL,
VERONA,VERONA
VFB LUBECK,LUBECK
VFB STUTTGART,STUTTGART
VFL BOCHUM,BOCHUM
VFL OSNABRUCK,VFL OSNABRUCK
VFL WOLFSBURG,WOLFSBURG
VIBORG,VIBORG
VIDEOTON FC,MOL VIDI
VIETNAM,VIETNAM
VIKING,VIKING
VIKINGUR REYKJAVIK,VIKINGUR REYKJAVIK
VILA NOVA,VILA NOVA
VILAVERDENSE,VILAVERDENSE
VILLARREAL,VILLARREAL
VILLARREAL II,VILLARREAL B
VILLEFRANCHE,
VILLEJUIF,
VISSEL KOBE,KOBE
VITESSE,VITESSE ARNHEM
VITORIA,EC VITORIA SALVADOR
VIZELA,VIZELA
VOJVODINA,VOJVODINA
VOLOS NFC,NFC VOLOS
VORSKLA POLTAVA,VORSKLA
VUKOVAR,
VVV VENLO,VVV VENLO
WAALWIJK,RKC WAALWIJK
WALDHOF MANNHEIM,
WALES,
WANDERERS,WANDERERS (URU)
WARTA POZNAŃ,WARTA POZNAN
WATFORD,WATFORD
WELLINGTON PHOENIX,WELLINGTON PHOENIX
WERDER BREMEN,WERDER BREMEN
WEST BROM,WEST BROM
WEST HAM,WEST HAM
WESTERN SYDNEY WANDERERS,WESTERN SYDNEY WANDERERS
WESTERN UNITED,WESTERN UNITED
WIDZEW ŁÓDŹ,WIDZEW LODZ
WIGAN,WIGAN
WILLEM II,WILLEM II
WOLFSBERGER AC,WOLFSBERGER AC
WOLVES,WOLVES
WSG WATTENS,WSG WATTENS
WUHAN THREE TOWNS,WUHAN THREE TOWNS
WYCOMBE,WYCOMBE
YEMEN,YEMEN
YOKOHAMA F. MARINOS,YOKOHAMA FM
YOKOHAMA FC,YOKOHAMA FC
YOUNG BOYS U19,
YVERDON SPORT,YVERDON SPORT
ZAGLEBIE LUBIN,ZAGLEBIE LUBIN
ZALAEGERSZEGI TE,ZALAEGERSZEG
ZAMALEK SC,ZAMALEK
ZAMBIA,
ZAMORA,
ZAMORA FC,ZAMORA
ZARAGOZA,ZARAGOZA
ZEMPLÍN MICHALOVCE,ZEMPLIN
ZIMBABWE,
ZLATÉ MORAVCE,ZLATE MORAVCE
ZLIN,ZLIN
ZORYA LUHANSK,ZORYA
ZRINJSKI,
ČESKÉ BUDĚJOVICE,
İSTANBULSPOR,
ŁKS ŁÓDŹ,
ŽELEZNIČAR PANČEVO,ZELEZNICAR PANCEVO
ŽILINA,
ŽILINA U19,
